amount,claimer,claims
133269.1036,\x79317fc0fb17bc0ce213a2b50f343e4d4c277704,1
131646.0012,\xd64813e230b945e501aa1969d21fb2072cb95930,1
128801.5361,\x24394a4758dbdcf6fcbc14dc35af64ac0d9a450a,1
127720.8458,\x6379bf347375b4018251bd94f78a864cef7ec534,1
124914.9339,\x77bbaf74cf620891e7abe095020d78c81c7dadef,1
121915.0621,\x51434f6502b6167abec98ff9f5fd37ef3e07e7d2,1
120282.4997,\xfb633f47a84a1450ee0413f2c32dc1772ccaea3e,1
119897.154,\x582033a111659f5d733f855b8377c42984ec2beb,1
119274.3296,\x67a57535b11445506a9e340662cd0c9755e5b1b4,1
118312.9485,\x188f8c0ce481f2df4c70247a0ff11f05157d7d2e,1
116980.1591,\xf39d30fa570db7940e5b3a3e42694665a1449e4b,1
116100.0338,\x86f35cbfa96d6d143055b787c188cc49d6e6570a,1
115648.1666,\xda65d14fb04ce371b435674829bede656693eb48,1
109757.1841,\x4f76ff660dc5e37b098de28e6ec32978e4b5beb6,1
107632.5879,\x0b6971e7d1edf1dfe4d501151d59a1f7ee30651e,1
107519.2239,\x449295e140ea4a35ebdeacfb47c52a7df41a7d81,1
103334.5441,\x5d3183cb8967e3c9b605dc35081e5778ee462328,1
103291.3929,\xf3ae3bbdeb2fb7f9c32fbb1f4fbdaf1150a1c5ce,1
103060.8935,\xb67cff0ed07a50f690638731dce80bc4fe312c83,1
101808.0542,\xf731f4c74eae61dfa88e0b6a13f9d2624bf2b16f,1
101050.659,\xa7b21443727954016d0eaae236bf9659eb0ac1ad,1
99329.19736,\x0118289457e9fd02c05e37e27a11bd09d3500021,1
98313.17306,\x978aad63fe35f7a72573c411c3dff53608aaeac9,1
97851.54102,\x054c050c3930a9712066c0c43bcde53498d6670e,1
97205.06937,\xac3f031a662f14263ebb2b5a712763662e00db89,1
96533.8177,\x828ae3303473378ea22cb5b1778185dbc302c421,1
95590.33788,\xe8af12e3c4d34d3aa27a38258d6ce1b803a37e02,1
95502.13364,\x94607a6d8662085dacaf5ca81e860feeee372de7,1
95353.95091,\xf8adc1d947be5aa5152a08127e0641bc33d16b1d,1
93537.14842,\x8761e0dd63d14cf566acf4b730f3540f164b6b56,1
93149.78151,\x307b543b90f0b5d83b90994b6ba83927d8b28a41,1
92708.41189,\x79dbd1baf124edd4205b2aba56c29bf3914c8ed0,1
92176.83587,\x3f3e305c4ad49271ebda489dd43d2c8f027d2d41,1
91545.52965,\xaa65f50d13d01295ef8abad6e04520a471efe793,1
90127.66214,\xa906307f37babffbf918dd625fb6b9ff9c499d11,1
89806.02726,\x6582ccf0c96577fafc8e6f172838cff4a74338f1,1
89741.38218,\xf5428da9ffedb50115c4b6788027e895411c7c3b,1
89010.0494,\xb8dc24569eed78375c71808a865a8a013bd2cb7c,1
87070.37053,\x9c858f1cffd28f56b3b865f4a64b96e510f3059a,1
84286.83269,\xded9957716f5c4d488cd502b47642a9cdb03e11f,1
84179.83964,\x4d6205cd9de1624898e31655b8df0a16d180c209,1
80678.77059,\xa3d506db9b72ba7b84a3650950712733b74664ac,1
79635.88873,\x57ba0396c511c6dde22e4c524c07b85411d6d05d,1
79510.08176,\xa433105e7396070a5e1fdd7e2b2338f1bfa0de68,1
78655.51955,\xbd8756f58ed396567ca204132d1fed15470173b3,1
77976.1562,\xd85a7a3c5f08e3e709c233e133ce1335fbbf5518,1
73367.96583,\x395d48020ef5e29168706e16258db6c6c4d7d317,1
72646.50099,\xfdc6a17917115498a3ed417d4a89224685f26ea3,1
72067.42136,\xa9333685543e62176a091a86574e0ca3acd30d7d,1
70285.23848,\xc912f332b817e6f62d4991610ded7df4cde212f0,1
69954.2947,\xc5ef1c84ea5c570979da35eb7c068687d15709ee,1
69740.20439,\xadfb8fb46523f4cbe45dd4f7a65e7d04edf7a663,1
68310.06709,\x05e11de553a95955151d9815ef96ad0cd8daf6de,1
66953.2977,\xe9df41ead054f9a8e6fe24a25071a3b571cb6446,1
66763.35214,\x66827bcd635f2bb1779d68c46aeb16541bca6ba8,1
66711.94921,\xf1aeb5d0b299974f2b8258a4e10dc8112a750b91,1
64257.26918,\x69f3c51c18c218fe188c966e4918e3d914c53f6f,1
62868.51235,\x02ca37bd34f52075fe1463369bf608f1e50d7308,1
62555.26576,\x268cb4c8b97da9d146702d84501a64f597a3aa14,1
61647.95592,\xfcd811addee67f820b522b06cbb6a0ae6f02f82a,1
61137.688,\x6d7809a95d6e82425f2403eead3064aaa013082d,1
59833.62522,\xe426210d7695ae9340d766db4df3a6a91f21e26a,1
59751.22148,\x509b45ff935e4c3eb690d01762e635b8e6006804,1
59050.02033,\xf55ab67955f58dfcd30fcfc2ff3510b96661abd5,1
59040.25323,\x9b4e28020b94b28f9f09ede87f588e89c283cffd,1
59032.76305,\x807a74f40f8f41c9d46b6543951c615af66bb77a,1
58582.4658,\x1a2f2405ba4d5f3c68c413d136ad81617dbacf58,1
58535.21611,\x0bc289463b21be0f610d0d6cb4b8a9e679b68c15,1
57809.449,\xda8a8a7788f6e62cfdc55b5d971436aa00044137,1
57572.65445,\x5beeaf9f47a0c9fdada131c5a687cd52b6411cf5,1
56872.43658,\x05e2461c8c10138aee241268f28de6003d3dbadb,1
56520.23382,\x4f50d47d20380172746527bbeaa274940c38efac,1
56461.62322,\x4c5de64a271476dfd7c5166334392ef3811d34fc,1
55969.42859,\x3b38df411221126688b7ca4cd3b5c08144e558e5,1
54423.52107,\x5e7b645d5bf86750cb1913122ba8a8545e2a9fd1,1
54127.81866,\x36e5a96c8d01803d2c48756aa7bde1c01d7d9f8a,1
53365.95447,\x0ffeb87106910eefc69c1902f411b431ffc424ff,1
52513.38124,\x22e86ab483084053562ce713e94431c29d1adb8b,1
51827.54096,\x30a8fa3f7357c1a73864e82686487896d5d9a149,1
51195.29081,\xa16946a605ddb755d3a5774b6124f97fed1bd1e3,1
51080.21347,\x5cb0893ab4182a2ca69788a695504e4ff0dd221a,1
50252.31526,\x964d9d1a532b5a5daeacbac71d46320de313ae9c,1
49944.50497,\x918453d249a22b6a8535c81e21f7530cd6ab59f1,1
49560.98533,\x000000000000000000000000000000000000dead,1
49223.78529,\xef764bac8a438e7e498c2e5fccf0f174c3e3f8db,1
48903.15764,\x32a59b87352e980dd6ab1baf462696d28e63525d,1
48748.91173,\x270cd0b43f6fe2512a32597c7a05fb01ee6ec8e1,1
48347.27296,\x293425f7e1f094cd06a264187d830b59e54cac1e,1
48290.20587,\xe925448f172b7e9cb9bbca1f54282ef4a126fc2a,1
47876.15547,\x19360799a15730fac556088793895aa7650ee442,1
47626.21048,\x0ab50822485b4bc6f7910eb482f47cac2891dd12,1
47586.66553,\x2ce5f9f52c1eec9a1183f91139c59b485ff39dad,1
47326.34329,\xd8d6be6bf9878bf62a7efec03c1ffa716a63482a,1
46776.54715,\xc3704377509e00c87319afc12e8899e84f6a98d3,1
44837.86478,\xccf7d009115f8ee80f11f75b18fb51cbaf831e63,1
44769.16405,\x33b495480cdfab66790300d853f56452f9f96eed,1
44733.30159,\x819d64ac448dfed4615079c8110dc65a7571db8f,1
43036.46216,\x3212e2aab4bef4037db883627c21d031a040a9c6,1
43008.34994,\xc023d24aadf84c20dfb554e90669797b48ac8620,1
42587.25526,\x5eca9a84b31f7dcd83c68b015df498b0c4f65f6c,1
42311.20111,\x10e797d89cd91184d058d0d2972806681af90638,1
42205.82003,\xedd4029250dffa95700aa79685e4a6704123baf2,1
41758.15559,\x6a983e653d6d7c81fbd29dd7cc638b6f36242d08,1
41135.7641,\x6f62ba4a7d3c43e061fc414069e965065d63c40b,1
40852.99501,\x3a2839250072f936f1a1be79a367e18557fb4a2c,1
40048.60912,\xc59d941d3493fe196f048fca96c2503d4c365391,1
40017.46139,\x0fee9101e40787e64107c3dc585937c9f3ddb3a6,1
39885.07885,\xb6f689f3ae30444ab3f35a9e8e4ebc6507d3bdaf,1
39852.339,\x17e00383a843a9922bca3b280c0ade9f8ba48449,1
39841.27773,\xa5fdf743e39e8bda8e76216c9bbed57f899de77c,1
39584.98614,\xa1fb1ccf3bd712972b06a089c6c69fe342a52af1,1
39161.86421,\x51f1ab46d67ab77baf4600617113411336c078b2,1
38712.54713,\x7dc7ef3113074f2c320172373bedc74a36c642e4,1
38691.85581,\x6687178bbe48bd90333018c41170182474e6f5ac,1
38031.78819,\x188c30e9a6527f5f0c3f7fe59b72ac7253c62f28,1
37609.9553,\xedf30929c161e8bc1bfa8b3a042fed230d68e11f,1
37195.12661,\x0d7f2e43b77deb6e922640a4b7edc5b7e874dd70,1
37133.51362,\x526c7665c5dd9cd7102c6d42d407a0d9dc1e431d,1
36793.5812,\x37c3791bea30744a88b9292f0c3b0cd3c4969d09,1
36461.02692,\x542a0eaf1358480ec0703f07bc3120a6503ebbc1,1
35849.05652,\xd80490fddad5b4d57fed5b649167c6b8259b63e3,1
35740.36838,\xbb6ab3cf7cabe055a96ca165421927305ee4d30b,1
35587.02341,\xd47df21207181152dffc749eb3a66d8d91eb204a,1
35059.56131,\xb1bc5fac6a082f59c97f2989b3c31b5996d3a483,1
34781.45181,\x5a30dd8b35a24d65f4288a733d7a71e372d5993b,1
34399.04177,\x0d2109a4d1182b98e925c6b4a641b2597ccbcf9b,1
34187.0395,\xdcf42a28b6d7e3377355b1e91a9b91708b83e2d5,1
34026.0626,\x44281ef600c0f95b0d6fbab545f3f837b1bca4d1,1
33877.65458,\x5398850a9399da87624874704feaa8a9c6c4089b,1
33420.22588,\xa6756d91a2700660d436375552f0ec14aba7cc1b,1
33244.49359,\x7719144fce2013e8c058ce587d75a9a80d6f4cba,1
33202.34605,\x30d53bb9b353f382290d2adea92ddf4dfb6694e6,1
33120.19333,\x57aeda024fdbc8e1ce19cb9a628ca39747e3661f,1
33073.16047,\x19ee7696d2a71548a7f1fc9cef644460d7e73297,1
32818.66355,\x0006e4548aed4502ec8c844567840ce6ef1013f5,1
32727.78547,\x32ccf7b92ed79bcf506b090f5f1b93c822fac612,1
32722.6821,\xa53a13a80d72a855481de5211e7654fabdfe3526,1
32466.78204,\xd1ec870bd5ae5790835d838714fef713c0de916a,1
32411.86367,\xfe2321d7dfa492dfc39330e8b85e7c49161e7f98,1
32210.23293,\x512fce9b07ce64590849115ee6b32fd40ec0f5f3,1
32157.54468,\x588f7dd3012eb0351bd8b71a202e58898fc986d9,1
31716.25835,\x2faf010a0d5afbdb5aa0bb7bfa6d2d99cc615b63,1
31660.40948,\x24eeb25be492d161bb2e78773463a1c2645d3e1d,1
31544.91066,\x840921459c1c7f38260587a4ada3a28287484af0,1
31383.05397,\xb7931cf6b3122f0c36b59f377845aa04d04f2626,1
31359.98713,\xa582566b600a56ed7326f9a871592a5809e286d2,1
31131.30682,\xa3ddf7a7e10b459c3d3cc5221167e8c3b80f0915,1
31107.5209,\x7a39608107dc014d4bbd7a5f01d3fba5dff6d042,1
31104.34846,\xe2e4f2a725e42d0f0ef6291f46c430f963482001,1
31015.61809,\x575e3fa1608ec75e20d91b383f15186d1228fe98,1
30292.94857,\x300f73432632d8717363aa9c10664a512986902b,1
30176.86642,\x049355e4380f8db88cb8a6ec0426b1a1a3560c67,1
30098.32384,\x8c2fd1f3ae6162fd3cb3157222dc3979b42e699e,1
29864.69699,\xdd0e49ad7e0b04ac680269a9ac1e40ea33631a84,1
29727.32849,\x43f3669d7dfbba9798c2b62047a60cd7f8f40cb2,1
29703.23514,\xbbf6a5d69184b47ab5f074c075ddf91bed66d5b2,1
29435.39322,\xc33d98e88682c883fe32b8f6620660692092d39f,1
29395.63762,\xb157ba30e3467ddbc844f14f02b4ba741f1d549f,1
29340.29769,\x975793c7a6a077221aca4e4fb9b7f9a46378463a,1
28510.02246,\x871930f59563f379f00070dfc59876e05e730f89,1
28389.56312,\xab6afa507adfac8a2c22c85716cb74156c897d4b,1
28289.20376,\x1b72bac3772050fdcaf468cce7e20deb3cb02d89,1
27958.29567,\x3584ca77ba08bd8b3fe4762e60eb284e37696829,1
27940.6498,\x555187752ef6d73758862b5d364aab362c996d0e,1
27911.06255,\x13dc08f5ddbcbfdf6ebc04c909c3052a2aa7a111,1
27856.45759,\x9ca3132880a2d6d97c2a605b5edcefa46f06d412,1
27679.51009,\x962eff98df5e4bf0cd624f4aff7126a6a7a0622f,1
27234.41874,\x9dfac9bbe1119da5dcdd7b095db40920cde878ef,1
27133.4947,\x3997ec2e2cfb151300b46f0a44f28bb17f58ebae,1
27010.98544,\x5bb5b655f04c0e34a4e854092c63a2057818d25e,1
26814.05917,\xdc2875911156e71f5e2390c6904b17e4ce082362,1
26700.97962,\x00610d1b203f9ddf2776d8729b0de854f5dce8ed,1
26693.92079,\x4d4902bd7e080159964f46b10feeb6482d148e5a,1
26408.69075,\x074976a8d5f07da5dada1eb248ad369a764bb373,1
26356.89281,\x2b995eb8137a184ec07c5d18c92038441b83b55f,1
26127.93178,\xcf8fcb37b7e4af7e2f79a6ff813b4d899ae70bdc,1
25998.17556,\x161cdd891e04a77e0458a3ef65c563c4d2064cd6,1
25785.48347,\x653f39ebb46a7c4d0f620001fd7ba8e9b04f59b4,1
25705.89532,\x6723b7641c8ac48a61f5f505ab1e9c03bb44a301,1
25552.59577,\x2259fcb55f3477163f0f1c3b548899e4c35e5e1c,1
25324.76328,\x583b1eeaf66f137ce5b053e88041876d335d4a12,1
25297.65443,\x9d50a80609aae214b8d6c34fbbd010a9d4769a76,1
25289.16199,\xa7f3dfed2bcf7b35a8824e11ae8f723650edfb58,1
25222.01549,\x67d3ccbd1d81e7b1427b70d94454e0039271d237,1
25201.01488,\x85e78b9c7128c95869d691e40ac6106f3190d9fd,1
25165.77937,\x63c410a066d5d12217b713ccac5f600a06ba45e6,1
25159.8429,\xe20ff024e00a324d6fd29750ebe92e6b4faa2741,1
24998.82203,\xfa82e743fe51c0613e1ddff0523604738e8e49dc,1
24986.9575,\x78c9126309909f71f7e674c3376a9e34cbbbc949,1
24577.13624,\x90f9f22dd034da42defcb6866b854ecb45ed6d16,1
24562.27496,\x3ad0fdccee852a4a06f804f3bbdbdb507d41091d,1
24283.71202,\x53bd12031e4cd6af14c91d4122152ead80ccb342,1
24280.6124,\xd779bb0f68f54f7521aa5b35dd88352771843764,1
24218.2418,\x718fdf375e1930ba386852e35f5bafc31df3ae66,1
24144.82781,\x8ccb8c85c06d3abcb758b84012830a5265d6c9f5,1
24018.76492,\xf7c751457363e84f5fda68e527b318468f334cec,1
23845.62192,\xf4adb9ba51fde3eaee89ce9a60e99992611849fd,1
23821.83703,\x419afe43175501f642e7f1d42aefb57df4165739,1
23752.21624,\x1a50a6238eb67285ccd4df17f75cce430baae2a4,1
23692.77235,\xd689b787c17e3133e6a3964446eac7559d306227,1
23652.26534,\x9c66894060fbc07a8111e6d2553ecf807ac47bfc,1
23625.11142,\x70cb64fc8a03a979edd1bddc2801a763ad108a9b,1
23619.54284,\x522e5eb34d4bd9b6d3ce30f29c60ca88cafe557d,1
23359.80038,\x42ab9e1c9332e61eba3a17b53fce2abf73dc8b12,1
23062.22214,\x2ca2f5845a01252e88ab04124aa2a101b324f59c,1
22902.51872,\x122e96298b6d7746bfa8a91d82b0c531fc11c3d6,1
22880.6921,\xb2e1a0e19b57b244a5fb683a128946414c25d31b,1
22810.46714,\x94c6258ee7bf1a17c8f11e7e6a7bfed3dac175b6,1
22652.02959,\x833ec6833b85b1c571bcff617cb30bf481e36426,1
22643.40196,\x4b22fb74c1bedc713e32496df8b5991a3d9542b5,1
22639.68854,\x9a82aa6edbc473a883b8906bf41084c9c1b760f2,1
22600.61287,\x1efb9f8b00b4a5dbf0f779aa032febd4b8f38a94,1
22536.65968,\x023b26c83b7cbfec9f895fad79ad87f22f9dff57,1
22486.8602,\x6fe5f68504928369146e75ae4690b12b966639b7,1
22483.97412,\xecba5f51925e6ccec26da38dcd7d5305f6bdfbcb,1
22471.51053,\x2755f169627369e30a9cdfd30f43c80e6e4c1905,1
22461.60666,\xbfebe09d854272c3aeeb1e4411c2b02a83d0339e,1
22153.40444,\x387ca78a5edf943d267b9248cce1b0fdb67d0029,1
21880.82204,\x2a73509816343cf3253acf5c260e62cc4759876c,1
21796.88265,\xcfe4b63246a23c92d96940a0261d4ca754edd7bd,1
21776.67206,\x450fc924276b71e84d2a5dc7084d1daa74f1d9aa,1
21755.22326,\x32b2d4ec46d76fc6dabfe958fb0e0bd8db740c84,1
21670.2858,\x9371a03a0f8343c34218f4130640081da75c4689,1
21323.35087,\x6873c745fe22e6412abf6c814cfa48c99b36b2bd,1
21292.25309,\x58bb42b82786f703b551a29d133153efe5211f6c,1
21273.05411,\xecc996953e976a305ee585a9c7bbbcc85d1c467b,1
21222.78056,\x15bb2ea32c4368143a164df01fc293e91b931780,1
21030.07366,\xa05e9e3103154a4e0339ea32b1bb80ed66c39c4a,1
20787.26651,\xe1fd5cdd0c0b2804b32ab94e03346c78826980ae,1
20748.78779,\x285c6e2954aaa7191360d7b16a91fe4e84211b3b,1
20735.22095,\x4f9a04bf67a65a59ef0beb8dcc83f7f3cc5c5d23,1
20495.26699,\x52cc207fed3f0327562cd4561852c7bd34efe7a3,1
20445.88637,\x8197ebca4f7a0918156f188f53c3a47381bbdb73,1
20397.11645,\xfadafce89ea2221fa33005640acf2c923312f2b9,1
20366.32632,\x5d396a2106694308a40608ef14a1c0892b6b7faa,1
20365.10295,\x8af360008769a6fd540cb787ba9abe7066fee9f3,1
20283.67669,\xbb4425f09548a140270220f78e6fd68f4e2c756d,1
20277.97259,\xf44452b71234b0059c18a10583c583192c96c2ed,1
20226.44595,\xcdcbc6228bf11984e240687c59a4c01aadbe7ce3,1
20218.42614,\x45f1e5d98b7c338cd7cdcbcecc47ddef193674b1,1
20200.33793,\xf182ea75ce927013459f7a6fc2002b519cc35426,1
20058.97609,\x9d414882fc618720fa8b850184f846422f422bd1,1
19896.76637,\xab0f88d49a4c80fbada18715c7233373078e6cd9,1
19795.38154,\x71f12a5b0e60d2ff8a87fd34e7dcff3c10c914b0,1
19680.19638,\xa8502b841d9fcd5d2a4c7439a13e87796aed56a1,1
19489.95765,\x8785bc7c6499c6ffcf2f246251c88e222aee6290,1
19349.74443,\x321a1f4026c5d4c48e71c4f0f0d1b3f17e9d200b,1
19246.44438,\xb7f72028d9b502dc871c444363a7ac5a52546608,1
19169.50541,\xcef2bfa939260a852eaa27fb489f98b3d64bde4a,1
19109.07927,\xd9a4693bc2d2b0246f931cd307d2bc53328cd73d,1
19097.70869,\x09b8297e09ad7b5c29a268181212da0db8cd531d,1
18994.08552,\x30d726d4b64fee8de4f5d94c53859daed2ae77f0,1
18965.87221,\xb7c5652dd01bf54b99059d3bd7281547e31eee69,1
18622.5883,\x72515452db16e9cdc1e6f1841fc6e07fab81c195,1
18563.33845,\x665e88f3cf05eeb678050ac1fda432fc55201043,1
18456.15931,\x1c5408c72f940c2406f7dd19113d4211b4a4ae16,1
18439.4392,\x6ac614977c4d4af9d17aeebfe2aa30fab3dfb3c8,1
18416.32644,\x2d25dedc2a061741e07843451754fe363107b0f3,1
18334.0093,\x1333c53a798547126ca04647ba925485a6fa7aad,1
18322.92671,\xb435871b0959561226b4d903b1abf79528177e81,1
18310.20014,\x882ad533924654facd63bb0b7b6eacfd52ba8e08,1
18299.97109,\x052564eb0fd8b340803df55def89c25c432f43f4,1
18261.77712,\xd3aa1fe5d12c62eea28b768ae27c1f53b0b79181,1
18164.15345,\x8abb238ca02081d18f92f0e5df563008714b50f8,1
18109.42607,\x3588f30d13d9b783a2c5628350260a9bd85a3cf7,1
18093.49842,\x9e1ebf38aaabfdfcaa5b880a136a06fa6ee4ec57,1
17925.87193,\xcd97052b44e92892953b630feaf6b7c3ff6ecf5c,1
17910.986,\x93c027865354e96a1e9ec69fc8253e6d49013f82,1
17858.99323,\xa0e1f2692d36fa6588cdc065e8d8dea5e4c0ca99,1
17855.02805,\x4c46f9a3da4f7f2911e29dae334ebcf09101a669,1
17716.67736,\x96fe354407ab89b9d7f94a7e41021e95922abba0,1
17676.84437,\x3b06bc7b205f1a827f6504244db7a8f5b0bf7dfa,1
17600.51312,\x377461714640f8c3bc3f7a3699fc9b1f49bf5e6a,1
17582.77648,\xd21e9a1471b65465166e99832ade5bd1e3a85c9e,1
17560.64023,\xca342b3fcc931bb45c3a42a6d0c4523c653ab778,1
17551.48131,\xd641356080a33e317c2bb4f9979233bf2b8beb6d,1
17433.4362,\xe826cf83f03732ea35eaf4cd9627d57529feca4b,1
17192.03388,\x74f4e644e2dbc8d2610a4c0c2d4ac6e91f81eecd,1
17187.83799,\x30887fc55cbfad3487cb55bfe1779f6d2ba1c118,1
17156.80024,\x70f461de6f3207ca3c3441cca0f4699f8b1b0b1e,1
17124.3702,\x15fda64fcdbca27a60aa8c6ca882aa3e1de4ea41,1
17098.09693,\xa874fe8b07460d210588075ddd9951209dfe5723,1
17028.68913,\x968cf7d8bbe57e3cde24ac1e2f2a52dc8ebf25e6,1
17008.77703,\x60e9762d7d29f17c017ac45cc03ee0eb996ffdd8,1
17007.40714,\x150b8e09ccec1e070b242b5746e4917cb118d0db,1
16934.91182,\x7652a18980f50e1d870952ecbf75ddf98cc45c44,1
16891.76035,\x270d2924ca13f54632601647fb225db8eb61fb49,1
16858.28884,\x2ca860ad6b4d2c79a88fb5b1628810f2bf487287,1
16767.53888,\xcaa613fe2fca674b8ebf4f5dba66ac262e038e13,1
16623.21897,\x92e5d84e70fcebbed9aa7c683c58f2e8172c28f0,1
16479.50257,\xb70f6fd78d41fe251e77de5377719af85d323483,1
16461.6294,\xc854ec7882ff6e0de4432d0a82564c86a03c6cc5,1
16420.71109,\x7e7a20c1585a2e69509b6b0269b7d777693a0d7e,1
16388.23618,\x66f48725672d500e58e1cbec228815419029bc16,1
16369.77737,\x024bcbcaad82e67f721799e259ca60bc7d363419,1
16322.98038,\x7f7dc314fc75658d474dbbfe598ebb058ca6aacd,1
16319.10035,\x6afd7db9a49a73cf377146aa10c6a69486cfc5cd,1
16314.11184,\x29c7b44e0584624c1e877d3ee0856520e2851ba6,1
16287.86785,\xd0554b8dc33b4be4bee98718a7b5f8009a67a6b7,1
16279.17513,\xf61df1dd91ffff67b214c66caa39bd33e008ce14,1
16235.85423,\x140c3aea5d5755f93890c436bb7ba8705996292c,1
16088.65851,\x3078f22015436d621062f7cc8334774eb5685e97,1
16025.79022,\x3f258a815d03e252d52743f4064d49247b3baf1b,1
15982.60517,\x72826a788944f9917684dcffda3350dcacd94cb2,1
15952.91728,\x2d087134978164905c3e3748bcf07ed09203ddaa,1
15852.29583,\x2a1049062c6cfd69bd38fbaf3b0559df1dbbc92c,1
15851.58961,\x2de5a92e98a7e7cddaee3e3d3e1617251f8ca988,1
15784.32169,\x6e0d41232da164ad7a91d4ae5d4277a42e1e3fc2,1
15770.34478,\xb4a762d0babbf42eccb82382664d7d4d8700f84e,1
15711.86585,\x82722788cc2df2f358da6cef68ba50c217eb329b,1
15684.41934,\x602f2e120a9956f2ad1ce47ced286fcefbba9f8c,1
15683.34024,\x0c5716c0be1848d8ee4a6828f24e2b7e0fcd1208,1
