amount,average amount claimed,claimers,time
23612.81024,400.2171227,59,2021-03-12T00:00:00+00:00
21653.77633,400.995858,54,2021-03-13T00:00:00+00:00
24059.05819,407.7806473,59,2021-03-14T00:00:00+00:00
21610.6502,400.1972259,54,2021-03-15T00:00:00+00:00
13610.84887,400.3190843,34,2021-03-16T00:00:00+00:00
19306.82817,402.2255869,48,2021-03-17T00:00:00+00:00
14416.48877,400.4580213,36,2021-03-18T00:00:00+00:00
22545.84835,644.1670958,35,2021-03-19T00:00:00+00:00
19534.79785,434.106619,45,2021-03-20T00:00:00+00:00
13611.7909,400.3467911,34,2021-03-21T00:00:00+00:00
17601.67262,400.0380141,44,2021-03-22T00:00:00+00:00
16800.64403,400.0153339,42,2021-03-23T00:00:00+00:00
14164.81361,404.7089603,35,2021-03-24T00:00:00+00:00
19713.58111,402.3179819,49,2021-03-25T00:00:00+00:00
18812.00742,418.0446094,45,2021-03-26T00:00:00+00:00
11608.98514,400.3098323,29,2021-03-27T00:00:00+00:00
23600.01148,400.0001946,59,2021-03-28T00:00:00+00:00
14138.80573,403.965878,35,2021-03-29T00:00:00+00:00
14000.05412,400.0015462,35,2021-03-30T00:00:00+00:00
21658.86744,401.0901377,54,2021-03-31T00:00:00+00:00
16401.75644,400.04284,41,2021-04-01T00:00:00+00:00
14004.63311,400.1323746,35,2021-04-02T00:00:00+00:00
17114.27901,407.4828337,42,2021-04-03T00:00:00+00:00
16401.49911,400.0365635,41,2021-04-04T00:00:00+00:00
23770.1459,540.2305886,44,2021-04-05T00:00:00+00:00
14800.11503,400.0031089,37,2021-04-06T00:00:00+00:00
12789.00638,491.8848608,26,2021-04-07T00:00:00+00:00
11250.29177,401.7961345,28,2021-04-08T00:00:00+00:00
12404.24456,400.1369214,31,2021-04-09T00:00:00+00:00
13498.26075,409.0382046,33,2021-04-10T00:00:00+00:00
19145.65939,407.3544551,47,2021-04-11T00:00:00+00:00
18507.19952,420.6181708,44,2021-04-12T00:00:00+00:00
15688.26325,402.2631602,39,2021-04-13T00:00:00+00:00
11208.09725,400.2891875,28,2021-04-14T00:00:00+00:00
9211.159092,400.4851779,23,2021-04-15T00:00:00+00:00
18411.32076,400.2461034,46,2021-04-16T00:00:00+00:00
17623.16374,400.5264487,44,2021-04-17T00:00:00+00:00
12815.03596,400.4698738,32,2021-04-18T00:00:00+00:00
12409.74021,400.3142002,31,2021-04-19T00:00:00+00:00
19608.8871,400.1813693,49,2021-04-20T00:00:00+00:00
15604.97534,400.1275727,39,2021-04-21T00:00:00+00:00
25539.09071,555.1976242,46,2021-04-22T00:00:00+00:00
6814.306184,400.8415402,17,2021-04-23T00:00:00+00:00
15052.26792,406.818052,37,2021-04-24T00:00:00+00:00
13654.45836,401.6017165,34,2021-04-25T00:00:00+00:00
12000,400,30,2021-04-26T00:00:00+00:00
11225.63281,400.9154574,28,2021-04-27T00:00:00+00:00
12402.60431,400.08401,31,2021-04-28T00:00:00+00:00
14401.75595,400.0487764,36,2021-04-29T00:00:00+00:00
14577.36252,404.9267366,36,2021-04-30T00:00:00+00:00
16803.52731,400.0839835,42,2021-05-01T00:00:00+00:00
19904.45035,423.4989436,47,2021-05-02T00:00:00+00:00
12826.07517,400.814849,32,2021-05-03T00:00:00+00:00
19285.05872,401.7720567,48,2021-05-04T00:00:00+00:00
29315.94536,488.5990893,60,2021-05-05T00:00:00+00:00
18048.70966,429.7311823,42,2021-05-06T00:00:00+00:00
18776.36785,408.1819097,46,2021-05-07T00:00:00+00:00
11610.34552,400.3567419,29,2021-05-08T00:00:00+00:00
20810.00809,408.0393744,51,2021-05-09T00:00:00+00:00
20423.097,400.4528824,51,2021-05-10T00:00:00+00:00
18407.67711,400.1668936,46,2021-05-11T00:00:00+00:00
17612.0716,400.2743545,44,2021-05-12T00:00:00+00:00
8800.005078,400.0002308,22,2021-05-13T00:00:00+00:00
12260.01706,408.6672354,30,2021-05-14T00:00:00+00:00
9208.202293,400.3566214,23,2021-05-15T00:00:00+00:00
11620.47998,430.3881473,27,2021-05-16T00:00:00+00:00
13788.63828,405.5481847,34,2021-05-17T00:00:00+00:00
8844.352652,402.0160296,22,2021-05-18T00:00:00+00:00
8800,400,22,2021-05-19T00:00:00+00:00
4839.349484,403.2791237,12,2021-05-20T00:00:00+00:00
11614.76422,400.509111,29,2021-05-21T00:00:00+00:00
10473.65836,616.0975503,17,2021-05-22T00:00:00+00:00
16314.69974,906.3722076,18,2021-05-23T00:00:00+00:00
7602.758923,400.1452065,19,2021-05-24T00:00:00+00:00
8231.537138,457.3076188,18,2021-05-25T00:00:00+00:00
10332.02823,413.2811292,25,2021-05-26T00:00:00+00:00
8413.776758,400.6560361,21,2021-05-27T00:00:00+00:00
8001.245739,400.062287,20,2021-05-28T00:00:00+00:00
6001.425985,400.0950657,15,2021-05-29T00:00:00+00:00
6800.309558,400.0182093,17,2021-05-30T00:00:00+00:00
6801.0112,400.0594824,17,2021-05-31T00:00:00+00:00
6818.19795,401.0704676,17,2021-06-01T00:00:00+00:00
7611.076529,400.5829752,19,2021-06-02T00:00:00+00:00
8868.851339,403.1296063,22,2021-06-03T00:00:00+00:00
9564.322061,455.4439077,21,2021-06-04T00:00:00+00:00
4405.339664,400.485424,11,2021-06-05T00:00:00+00:00
8801.653254,400.0751479,22,2021-06-06T00:00:00+00:00
5605.624221,400.4017301,14,2021-06-07T00:00:00+00:00
7728.365863,406.7560981,19,2021-06-08T00:00:00+00:00
4801.788495,400.1490413,12,2021-06-09T00:00:00+00:00
4000,400,10,2021-06-10T00:00:00+00:00
9290.426527,580.6516579,16,2021-06-11T00:00:00+00:00
13083.38368,623.0182705,21,2021-06-12T00:00:00+00:00
5611.316531,400.8083236,14,2021-06-13T00:00:00+00:00
10732.21069,715.4807125,15,2021-06-14T00:00:00+00:00
5600,400,14,2021-06-15T00:00:00+00:00
5202.991573,400.230121,13,2021-06-16T00:00:00+00:00
6824.498742,401.4411025,17,2021-06-17T00:00:00+00:00
5688.844042,406.346003,14,2021-06-18T00:00:00+00:00
3203.212582,400.4015728,8,2021-06-19T00:00:00+00:00
4400,400,11,2021-06-20T00:00:00+00:00
4400.005405,400.0004914,11,2021-06-21T00:00:00+00:00
4000,400,10,2021-06-22T00:00:00+00:00
3605.438578,400.6042864,9,2021-06-23T00:00:00+00:00
7603.277417,400.1724956,19,2021-06-24T00:00:00+00:00
5383.59586,414.1227585,13,2021-06-25T00:00:00+00:00
4813.067215,437.551565,11,2021-06-26T00:00:00+00:00
6803.6042,400.2120118,17,2021-06-27T00:00:00+00:00
2400,400,6,2021-06-28T00:00:00+00:00
5653.734982,434.9026909,13,2021-06-29T00:00:00+00:00
7202.329659,400.1294255,18,2021-06-30T00:00:00+00:00
6000.620185,400.0413457,15,2021-07-01T00:00:00+00:00
4405.758457,400.5234961,11,2021-07-02T00:00:00+00:00
5200.053528,400.0041175,13,2021-07-03T00:00:00+00:00
7208.223554,400.4568641,18,2021-07-04T00:00:00+00:00
4006.471016,400.6471016,10,2021-07-05T00:00:00+00:00
1600,400,4,2021-07-06T00:00:00+00:00
2400,400,6,2021-07-07T00:00:00+00:00
1208.352537,402.784179,3,2021-07-08T00:00:00+00:00
3650.046117,405.5606797,9,2021-07-09T00:00:00+00:00
2423.850409,403.9750682,6,2021-07-10T00:00:00+00:00
3200,400,8,2021-07-11T00:00:00+00:00
4625.692531,420.5175028,11,2021-07-12T00:00:00+00:00
6210.301864,477.715528,13,2021-07-13T00:00:00+00:00
5205.705424,400.4388788,13,2021-07-14T00:00:00+00:00
4844.576048,403.7146707,12,2021-07-15T00:00:00+00:00
5204.030129,400.3100099,13,2021-07-16T00:00:00+00:00
3600,400,9,2021-07-17T00:00:00+00:00
3200,400,8,2021-07-18T00:00:00+00:00
3627.828245,403.0920272,9,2021-07-19T00:00:00+00:00
3200,400,8,2021-07-20T00:00:00+00:00
9600,400,24,2021-07-21T00:00:00+00:00
6002.255032,400.1503355,15,2021-07-22T00:00:00+00:00
4006.625951,400.6625951,10,2021-07-23T00:00:00+00:00
2800,400,7,2021-07-24T00:00:00+00:00
5269.203779,405.3233676,13,2021-07-25T00:00:00+00:00
4800.531926,400.0443272,12,2021-07-26T00:00:00+00:00
2400.217793,400.0362988,6,2021-07-27T00:00:00+00:00
2801.879351,400.2684787,7,2021-07-28T00:00:00+00:00
3600,400,9,2021-07-29T00:00:00+00:00
3249.497319,406.1871649,8,2021-07-30T00:00:00+00:00
6000.459779,400.0306519,15,2021-07-31T00:00:00+00:00
1600,400,4,2021-08-01T00:00:00+00:00
1600.008162,400.0020405,4,2021-08-02T00:00:00+00:00
3203.201588,400.4001985,8,2021-08-03T00:00:00+00:00
2419.088526,403.181421,6,2021-08-04T00:00:00+00:00
4805.754643,400.4795536,12,2021-08-05T00:00:00+00:00
7802.739535,458.9846785,17,2021-08-06T00:00:00+00:00
2401.569523,400.2615872,6,2021-08-07T00:00:00+00:00
3600.35466,400.0394067,9,2021-08-08T00:00:00+00:00
3213.839427,401.7299284,8,2021-08-09T00:00:00+00:00
3600,400,9,2021-08-10T00:00:00+00:00
4400.78525,400.0713864,11,2021-08-11T00:00:00+00:00
3200,400,8,2021-08-12T00:00:00+00:00
3600.024976,400.0027751,9,2021-08-13T00:00:00+00:00
3759.099791,469.8874739,8,2021-08-14T00:00:00+00:00
2400.089395,400.0148992,6,2021-08-15T00:00:00+00:00
6002.64908,400.1766053,15,2021-08-16T00:00:00+00:00
8400.224586,400.0106946,21,2021-08-17T00:00:00+00:00
2454.355622,409.0592703,6,2021-08-18T00:00:00+00:00
7602.86073,400.1505647,19,2021-08-19T00:00:00+00:00
6815.086012,400.8874125,17,2021-08-20T00:00:00+00:00
4605.9174,418.7197636,11,2021-08-21T00:00:00+00:00
6812.559909,400.7388182,17,2021-08-22T00:00:00+00:00
8420.161623,400.9600773,21,2021-08-23T00:00:00+00:00
8801.285333,400.0584242,22,2021-08-24T00:00:00+00:00
7200.31069,400.0172606,18,2021-08-25T00:00:00+00:00
4800,400,12,2021-08-26T00:00:00+00:00
4800.00939,400.0007825,12,2021-08-27T00:00:00+00:00
3333.062679,416.6328349,8,2021-08-28T00:00:00+00:00
5200,400,13,2021-08-29T00:00:00+00:00
5600,400,14,2021-08-30T00:00:00+00:00
4432.399322,402.9453929,11,2021-08-31T00:00:00+00:00
6427.753096,401.7345685,16,2021-09-01T00:00:00+00:00
4400.00002,400.0000018,11,2021-09-02T00:00:00+00:00
6429.289982,401.8306239,16,2021-09-03T00:00:00+00:00
7200.030061,400.0016701,18,2021-09-04T00:00:00+00:00
6000,400,15,2021-09-05T00:00:00+00:00
6000,400,15,2021-09-06T00:00:00+00:00
5600.032949,400.0023535,14,2021-09-07T00:00:00+00:00
3656.809438,406.3121598,9,2021-09-08T00:00:00+00:00
4404.128972,400.3753611,11,2021-09-09T00:00:00+00:00
5600,400,14,2021-09-10T00:00:00+00:00
5200.378352,400.029104,13,2021-09-11T00:00:00+00:00
6403.921668,400.2451043,16,2021-09-12T00:00:00+00:00
3600,400,9,2021-09-13T00:00:00+00:00
5201.069476,400.0822674,13,2021-09-14T00:00:00+00:00
800,400,2,2021-09-15T00:00:00+00:00
3200,400,8,2021-09-16T00:00:00+00:00
5600,400,14,2021-09-17T00:00:00+00:00
3604.640588,400.5156209,9,2021-09-18T00:00:00+00:00
3600.53512,400.0594578,9,2021-09-19T00:00:00+00:00
1600,400,4,2021-09-20T00:00:00+00:00
2800.000989,400.0001413,7,2021-09-21T00:00:00+00:00
2400,400,6,2021-09-22T00:00:00+00:00
3200,400,8,2021-09-23T00:00:00+00:00
4925.871641,703.6959487,7,2021-09-24T00:00:00+00:00
2800,400,7,2021-09-25T00:00:00+00:00
3601.6757,400.1861889,9,2021-09-26T00:00:00+00:00
3600.001052,400.0001169,9,2021-09-27T00:00:00+00:00
2800.030564,400.0043663,7,2021-09-28T00:00:00+00:00
1600,400,4,2021-09-29T00:00:00+00:00
3235.873924,404.4842405,8,2021-09-30T00:00:00+00:00
3200.168299,400.0210374,8,2021-10-01T00:00:00+00:00
2800,400,7,2021-10-02T00:00:00+00:00
2800.384023,400.0548604,7,2021-10-03T00:00:00+00:00
2400.611633,400.1019388,6,2021-10-04T00:00:00+00:00
1610.079722,402.5199305,4,2021-10-05T00:00:00+00:00
3603.635065,400.4038961,9,2021-10-06T00:00:00+00:00
2000,400,5,2021-10-07T00:00:00+00:00
2978.299492,425.471356,7,2021-10-08T00:00:00+00:00
2687.795236,447.9658727,6,2021-10-09T00:00:00+00:00
5056.950998,459.722818,11,2021-10-10T00:00:00+00:00
4519.895858,564.9869823,8,2021-10-11T00:00:00+00:00
3649.564688,405.5071876,9,2021-10-12T00:00:00+00:00
2800,400,7,2021-10-13T00:00:00+00:00
3200,400,8,2021-10-14T00:00:00+00:00
800,400,2,2021-10-15T00:00:00+00:00
800,400,2,2021-10-16T00:00:00+00:00
5034.302208,419.525184,12,2021-10-17T00:00:00+00:00
2800,400,7,2021-10-18T00:00:00+00:00
5200,400,13,2021-10-19T00:00:00+00:00
6000.063975,400.004265,15,2021-10-20T00:00:00+00:00
6000.261583,400.0174389,15,2021-10-21T00:00:00+00:00
5608.776298,400.6268784,14,2021-10-22T00:00:00+00:00
4800,400,12,2021-10-23T00:00:00+00:00
2800,400,7,2021-10-24T00:00:00+00:00
3200,400,8,2021-10-25T00:00:00+00:00
6400,400,16,2021-10-26T00:00:00+00:00
2800.292524,400.0417891,7,2021-10-27T00:00:00+00:00
4000.001473,400.0001473,10,2021-10-28T00:00:00+00:00
10423.12958,400.8895992,26,2021-10-29T00:00:00+00:00
2400,400,6,2021-10-30T00:00:00+00:00
7604.417815,400.2325166,19,2021-10-31T00:00:00+00:00
123901.1482,12390.11482,10,2021-11-01T00:00:00+00:00
5619.097992,401.3641423,14,2021-11-02T00:00:00+00:00
6000.013583,400.0009055,15,2021-11-03T00:00:00+00:00
4400,400,11,2021-11-04T00:00:00+00:00
4800.000919,400.0000766,12,2021-11-05T00:00:00+00:00
6000.003739,400.0002493,15,2021-11-06T00:00:00+00:00
3600,400,9,2021-11-07T00:00:00+00:00
4907.863737,408.9886448,12,2021-11-08T00:00:00+00:00
10132.72822,405.309129,25,2021-11-09T00:00:00+00:00
9231.312055,401.3613937,23,2021-11-10T00:00:00+00:00
6866.120907,403.8894651,17,2021-11-11T00:00:00+00:00
8017.967172,400.8983586,20,2021-11-12T00:00:00+00:00
4509.862081,409.9874619,11,2021-11-13T00:00:00+00:00
4075.540242,407.5540242,10,2021-11-14T00:00:00+00:00
7605.430149,400.2857973,19,2021-11-15T00:00:00+00:00
6000.068744,400.0045829,15,2021-11-16T00:00:00+00:00
8632.12315,664.0094731,13,2021-11-17T00:00:00+00:00
10264.35183,488.7786585,21,2021-11-18T00:00:00+00:00
2011.800053,402.3600106,5,2021-11-19T00:00:00+00:00
2400,400,6,2021-11-20T00:00:00+00:00
4000,400,10,2021-11-21T00:00:00+00:00
7204.304698,400.2391499,18,2021-11-22T00:00:00+00:00
4596.958715,417.9053377,11,2021-11-23T00:00:00+00:00
4003.810136,400.3810136,10,2021-11-24T00:00:00+00:00
3600.017912,400.0019902,9,2021-11-25T00:00:00+00:00
2401.37132,400.2285533,6,2021-11-26T00:00:00+00:00
6105.797652,469.6767425,13,2021-11-27T00:00:00+00:00
3686.767565,409.6408406,9,2021-11-28T00:00:00+00:00
4416.459472,401.4963156,11,2021-11-29T00:00:00+00:00
4000.03873,400.003873,10,2021-11-30T00:00:00+00:00
2400,400,6,2021-12-01T00:00:00+00:00
2000,400,5,2021-12-02T00:00:00+00:00
5200,400,13,2021-12-03T00:00:00+00:00
3600.217368,400.024152,9,2021-12-04T00:00:00+00:00
2400,400,6,2021-12-05T00:00:00+00:00
4629.06588,462.906588,10,2021-12-06T00:00:00+00:00
4800.476897,400.0397414,12,2021-12-07T00:00:00+00:00
4000,400,10,2021-12-08T00:00:00+00:00
5600,400,14,2021-12-09T00:00:00+00:00
2001.17784,400.235568,5,2021-12-10T00:00:00+00:00
3600,400,9,2021-12-11T00:00:00+00:00
2400.000289,400.0000482,6,2021-12-12T00:00:00+00:00
4030.065385,403.0065385,10,2021-12-13T00:00:00+00:00
1200,400,3,2021-12-14T00:00:00+00:00
5205.246985,400.4036142,13,2021-12-15T00:00:00+00:00
2000,400,5,2021-12-16T00:00:00+00:00
1602.285213,400.5713033,4,2021-12-17T00:00:00+00:00
2416.900735,402.8167892,6,2021-12-18T00:00:00+00:00
4477.159732,497.4621924,9,2021-12-19T00:00:00+00:00
2000,400,5,2021-12-20T00:00:00+00:00
2410.909939,401.8183232,6,2021-12-21T00:00:00+00:00
2001.81775,400.36355,5,2021-12-22T00:00:00+00:00
15905.33351,2272.190502,7,2021-12-24T00:00:00+00:00
520258.8283,52025.88283,10,2021-12-25T00:00:00+00:00
